Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,023897,2003,null,null,20.4,null,118.4,null,null,132.0,81.2,102.6,20.1,33.0,null
IDCJAC0001,023897,2004,16.8,12.0,34.6,26.8,78.6,155.8,150.6,121.4,69.2,15.0,63.6,35.8,780.2
IDCJAC0001,023897,2005,30.2,36.8,12.4,10.0,9.0,186.2,110.0,88.8,70.0,127.2,82.0,61.8,824.4
IDCJAC0001,023897,2006,42.6,31.6,30.4,null,74.8,42.8,132.8,33.0,55.4,5.6,13.0,22.8,null
IDCJAC0001,023897,2007,81.8,1.2,null,96.6,109.8,108.2,129.6,45.0,52.4,40.2,54.6,42.0,null
IDCJAC0001,023897,2008,8.6,9.8,16.4,null,94.6,84.8,116.4,157.4,null,8.2,31.6,34.8,null
IDCJAC0001,023897,2009,1.0,1.2,23.4,95.2,78.6,80.4,null,null,101.6,67.8,48.6,23.0,null
IDCJAC0001,023897,2010,28.0,10.2,23.4,44.6,50.6,125.4,90.2,163.6,111.6,55.6,35.4,86.2,824.8
IDCJAC0001,023897,2011,19.6,73.6,49.6,20.6,68.2,109.4,99.4,77.2,84.7,46.0,27.5,null,null
IDCJAC0001,023897,2012,6.4,29.6,64.6,45.2,null,null,null,null,null,null,null,null,null
