Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,037003,1904,113.3,241.3,47.0,5.1,25.4,0.0,0.0,0.0,0.0,67.3,0.0,13.5,512.9
IDCJAC0001,037003,1905,33.5,38.1,6.9,0.0,0.0,48.3,0.0,0.0,0.0,2.3,12.5,0.0,141.6
IDCJAC0001,037003,1906,137.6,34.0,5.8,0.0,0.0,0.0,0.0,0.0,10.7,0.0,8.6,63.1,259.8
IDCJAC0001,037003,1907,48.5,40.7,0.0,0.0,5.6,null,4.6,0.0,null,null,null,196.1,null
IDCJAC0001,037003,1908,132.6,111.8,0.0,19.3,0.0,0.0,0.0,0.0,0.0,39.4,56.2,0.0,359.3
IDCJAC0001,037003,1909,17.8,27.6,145.3,110.5,2.8,9.7,0.0,16.6,0.0,16.0,4.3,1.0,351.6
IDCJAC0001,037003,1910,164.5,60.3,93.6,37.7,0.0,55.4,1.5,0.0,0.5,31.7,88.3,21.3,554.8
IDCJAC0001,037003,1911,55.1,37.7,52.3,33.5,0.0,0.0,20.3,0.0,58.4,7.6,59.2,52.3,376.4
IDCJAC0001,037003,1912,14.5,159.4,1.8,0.0,0.0,58.9,16.8,0.0,0.0,0.0,66.5,6.6,324.5
IDCJAC0001,037003,1913,61.5,77.6,34.5,0.0,0.0,8.9,0.0,0.0,7.6,0.0,1.5,52.6,244.2
IDCJAC0001,037003,1914,79.8,45.9,9.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6,217.1
IDCJAC0001,037003,1915,172.5,5.1,11.7,0.0,75.4,0.0,0.0,0.0,33.1,12.5,0.0,107.0,417.3
IDCJAC0001,037003,1916,63.6,7.6,15.2,12.7,2.5,0.0,0.0,0.0,0.0,23.6,74.2,244.0,443.4
IDCJAC0001,037003,1917,161.2,116.5,58.9,0.0,6.9,0.5,0.0,0.0,21.9,5.3,76.0,37.1,484.3
IDCJAC0001,037003,1918,217.3,158.8,8.1,0.0,0.0,0.0,0.0,9.2,3.6,6.6,24.4,0.0,428.0
IDCJAC0001,037003,1919,170.7,134.1,1.0,1.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.1,315.2
IDCJAC0001,037003,1920,107.0,35.5,0.0,82.3,0.0,10.2,4.3,0.0,3.8,7.6,66.8,55.9,373.4
IDCJAC0001,037003,1921,65.5,12.7,153.4,0.0,0.0,82.6,0.0,0.0,0.0,8.9,0.0,11.4,334.5
IDCJAC0001,037003,1922,9.1,37.8,30.5,0.0,0.0,15.2,0.0,0.0,0.0,26.7,15.2,98.0,232.5
IDCJAC0001,037003,1923,45.7,0.0,68.3,0.0,6.1,22.9,0.0,0.0,0.0,7.6,0.0,108.0,258.6
IDCJAC0001,037003,1924,15.2,164.8,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,7.1,152.4,345.9
IDCJAC0001,037003,1925,206.0,42.2,54.6,0.0,0.0,5.3,0.0,0.0,3.0,0.0,48.3,2.5,361.9
