Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,022010,1965,null,null,null,null,null,null,null,null,null,null,20.7,9.6,null
IDCJAC0001,022010,1966,0.3,12.7,27.2,4.6,47.0,64.4,76.2,30.7,54.6,27.1,26.9,53.8,425.5
IDCJAC0001,022010,1967,10.5,72.4,1.8,7.3,29.2,9.2,57.4,72.8,18.8,17.2,0.8,7.4,304.8
IDCJAC0001,022010,1968,27.9,33.4,49.5,57.6,100.6,69.1,44.5,61.0,21.2,57.2,24.9,37.9,584.8
IDCJAC0001,022010,1969,3.8,71.6,31.4,24.4,74.0,40.0,100.2,34.5,70.3,5.1,10.7,25.4,491.4
IDCJAC0001,022010,1970,13.0,0.3,5.9,46.1,42.7,42.6,45.5,50.7,63.1,2.3,24.6,39.6,376.4
IDCJAC0001,022010,1971,6.1,0.8,23.1,102.8,74.4,56.0,45.3,85.1,30.7,9.7,43.6,51.9,529.5
IDCJAC0001,022010,1972,22.6,75.3,0.0,37.1,12.4,21.1,69.3,94.3,23.6,15.0,11.2,13.2,395.1
IDCJAC0001,022010,1973,14.3,54.3,30.0,41.3,47.5,112.9,73.9,69.3,42.4,37.1,16.3,23.7,563.0
IDCJAC0001,022010,1974,25.6,32.6,3.7,71.8,86.7,21.2,81.8,null,58.1,94.6,7.5,9.8,null
IDCJAC0001,022010,1975,11.8,8.0,37.6,6.4,49.2,14.6,86.0,46.7,66.2,68.0,25.8,9.0,429.3
IDCJAC0001,022010,1976,0.0,14.8,0.0,16.2,24.8,48.6,18.4,32.4,47.0,43.4,24.0,12.8,282.4
IDCJAC0001,022010,1977,14.8,5.1,6.8,14.5,58.4,35.6,26.4,76.4,47.8,39.2,40.2,7.6,372.8
IDCJAC0001,022010,1978,3.4,0.0,6.8,28.2,27.0,124.4,86.0,76.4,72.4,23.6,39.4,21.8,509.4
IDCJAC0001,022010,1979,28.4,8.0,5.0,48.4,45.2,18.2,29.4,96.2,106.4,44.8,58.6,71.8,560.4
IDCJAC0001,022010,1980,2.6,0.0,0.0,39.0,51.4,113.2,75.4,12.2,14.9,79.2,22.2,19.2,429.3
IDCJAC0001,022010,1981,27.4,5.8,48.6,4.6,66.6,114.0,63.8,78.6,15.8,31.4,25.6,2.4,484.6
IDCJAC0001,022010,1982,22.6,5.0,52.2,48.4,54.6,60.2,28.8,20.8,18.2,20.2,1.8,1.6,334.4
IDCJAC0001,022010,1983,8.2,8.3,68.8,118.8,52.2,18.8,80.2,56.6,42.8,26.8,25.0,5.4,511.9
IDCJAC0001,022010,1984,7.2,4.0,11.4,17.2,51.8,17.2,52.6,53.0,82.8,39.2,33.8,15.0,385.2
IDCJAC0001,022010,1985,2.4,0.0,20.8,37.8,30.6,46.4,35.0,92.6,28.2,25.2,16.2,44.4,379.6
IDCJAC0001,022010,1986,2.0,3.6,0.0,42.2,35.4,25.8,98.0,87.2,67.2,51.2,9.6,12.0,434.2
IDCJAC0001,022010,1987,30.8,22.0,14.3,10.4,67.6,43.8,88.6,33.2,17.2,19.9,7.6,18.2,373.6
IDCJAC0001,022010,1988,0.8,12.8,26.4,1.4,74.0,65.8,42.6,58.6,23.2,14.6,41.2,42.4,403.8
IDCJAC0001,022010,1989,0.0,2.0,12.4,21.4,63.0,68.0,74.4,58.6,32.0,18.6,41.6,12.0,404.0
IDCJAC0001,022010,1990,3.2,11.4,7.0,8.6,16.8,105.0,83.0,61.8,28.8,19.8,4.4,58.2,408.0
IDCJAC0001,022010,1991,6.8,0.0,17.3,24.8,27.2,127.4,78.4,45.8,44.2,5.2,28.2,1.2,406.5
IDCJAC0001,022010,1992,2.0,1.0,46.4,55.8,77.4,54.8,48.6,77.0,121.2,82.0,52.4,97.0,715.6
IDCJAC0001,022010,1993,54.2,11.4,18.8,1.8,32.0,66.0,49.8,35.8,66.4,79.8,23.4,51.0,490.4
IDCJAC0001,022010,1994,21.0,6.0,0.0,1.8,25.2,83.4,57.6,20.4,22.2,17.8,24.2,5.6,285.2
IDCJAC0001,022010,1995,22.0,8.0,15.6,42.0,49.8,65.6,92.9,10.8,39.4,null,10.4,null,null
IDCJAC0001,022010,1996,8.4,9.4,9.6,17.2,1.4,87.2,null,70.2,90.4,25.0,0.2,14.0,null
IDCJAC0001,022010,1997,49.0,null,3.2,3.6,65.4,27.0,27.6,73.2,88.6,79.4,9.4,38.6,null
IDCJAC0001,022010,1998,0.0,24.0,null,77.0,19.0,65.8,44.4,43.4,38.8,19.6,24.0,9.6,null
IDCJAC0001,022010,1999,null,0.0,38.8,2.6,68.4,58.0,34.4,41.4,57.8,22.2,35.8,42.2,null
IDCJAC0001,022010,2000,1.4,57.0,27.8,null,58.0,73.6,48.2,48.8,null,81.0,5.8,6.0,null
IDCJAC0001,022010,2001,3.0,null,43.0,7.0,null,72.8,55.4,60.2,62.4,null,null,10.0,null
IDCJAC0001,022010,2002,null,0.0,10.0,3.4,35.2,66.8,69.6,33.8,null,26.6,null,null,null
IDCJAC0001,022010,2003,14.2,35.8,2.6,12.4,null,82.0,44.8,76.0,23.0,30.0,13.6,6.8,null
IDCJAC0001,022010,2004,10.8,10.0,13.0,8.2,43.4,77.2,62.6,81.8,41.8,4.8,45.8,50.4,449.8
IDCJAC0001,022010,2005,null,10.2,7.0,15.0,null,91.2,46.6,42.7,null,null,59.0,37.6,null
IDCJAC0001,022010,2006,20.2,null,22.2,39.6,40.8,20.4,43.8,10.2,7.6,0.2,16.6,21.2,null
IDCJAC0001,022010,2007,32.4,1.6,38.8,97.0,51.6,40.2,43.0,null,19.0,null,null,30.6,null
IDCJAC0001,022010,2008,6.6,0.0,13.0,null,47.2,19.0,67.8,48.7,30.4,5.4,6.4,34.2,null
IDCJAC0001,022010,2009,0.0,0.0,11.4,48.2,47.2,96.0,52.8,30.8,70.2,21.0,36.8,10.4,424.8
IDCJAC0001,022010,2010,18.2,0.0,85.2,34.0,41.4,58.4,44.8,73.8,78.9,44.6,5.0,58.4,542.7
IDCJAC0001,022010,2011,0.0,54.4,69.6,5.0,54.8,45.6,null,64.6,null,39.0,8.8,70.4,null
IDCJAC0001,022010,2012,8.8,0.0,null,null,null,null,null,null,null,null,null,null,null
