Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,017025,1920,null,null,null,null,null,null,null,null,null,32.0,45.5,56.1,null
IDCJAC0001,017025,1921,0.0,15.4,29.7,0.0,17.9,35.1,0.0,3.3,5.3,2.5,0.0,27.7,136.9
IDCJAC0001,017025,1922,0.0,7.4,0.0,11.2,31.8,0.0,2.8,1.8,5.8,3.5,0.0,46.3,110.6
IDCJAC0001,017025,1923,1.8,0.0,0.8,14.7,23.9,37.8,7.1,1.0,0.0,0.0,0.0,46.3,133.4
IDCJAC0001,017025,1924,19.3,9.9,0.0,3.0,0.0,0.0,1.1,8.5,5.3,28.6,4.3,5.3,85.3
IDCJAC0001,017025,1925,16.5,11.7,0.0,3.5,9.4,0.0,35.5,1.8,1.6,1.0,0.0,0.0,81.0
IDCJAC0001,017025,1926,0.0,1.3,10.4,20.8,16.3,8.7,0.3,4.3,43.2,0.0,2.8,0.0,108.1
IDCJAC0001,017025,1927,6.9,0.8,10.7,0.0,0.0,15.8,4.1,0.0,1.8,5.1,19.5,25.2,89.9
IDCJAC0001,017025,1928,0.0,20.0,1.1,0.0,2.0,46.2,19.1,0.0,3.8,19.0,0.0,6.1,117.3
IDCJAC0001,017025,1929,3.8,0.0,9.4,0.0,0.0,3.6,0.0,1.0,7.9,0.0,5.3,49.8,80.8
IDCJAC0001,017025,1930,0.3,44.8,0.0,46.7,4.6,0.0,3.6,16.5,8.6,24.0,5.1,57.4,211.6
IDCJAC0001,017025,1931,1.1,0.0,26.5,84.3,8.7,16.5,4.8,0.0,1.0,0.5,0.0,20.1,163.5
IDCJAC0001,017025,1932,0.0,7.1,8.9,7.1,28.1,6.6,5.1,2.0,31.8,27.7,8.6,6.1,139.1
IDCJAC0001,017025,1933,1.3,0.0,19.1,2.8,14.5,1.0,17.3,39.2,1.3,1.0,36.7,0.8,135.0
IDCJAC0001,017025,1934,9.1,14.2,17.0,0.0,0.0,3.9,2.5,1.8,5.4,29.4,12.8,0.0,96.1
IDCJAC0001,017025,1935,45.5,0.0,1.8,2.8,0.0,31.0,0.3,20.6,29.7,14.4,7.6,0.0,153.7
IDCJAC0001,017025,1936,18.8,2.1,3.8,0.0,16.3,0.0,13.8,3.8,0.0,27.7,1.8,12.2,100.3
IDCJAC0001,017025,1937,43.4,1.5,0.0,1.3,3.4,12.9,0.0,12.9,0.0,3.8,30.5,2.5,112.2
IDCJAC0001,017025,1938,4.6,65.1,0.0,0.0,1.8,9.0,2.0,23.6,0.0,13.0,2.8,0.8,122.7
IDCJAC0001,017025,1939,118.9,39.2,61.0,1.8,10.7,32.4,17.7,1.5,0.0,5.4,21.6,0.0,310.2
IDCJAC0001,017025,1940,3.8,0.0,0.3,23.8,16.3,0.0,0.0,0.0,5.1,1.3,0.0,1.1,51.7
IDCJAC0001,017025,1941,37.2,13.7,12.2,43.1,1.5,12.4,10.1,4.6,3.6,11.4,4.1,0.0,153.9
