Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,085291,1997,null,null,null,null,null,null,null,67.2,null,null,null,null,null
IDCJAC0001,085291,1998,56.4,56.8,33.4,89.4,132.6,22.0,83.4,null,6.4,153.8,245.0,156.2,null
IDCJAC0001,085291,1999,69.6,132.2,176.0,117.6,60.4,111.2,79.4,199.8,72.2,170.6,201.2,296.8,1687.0
IDCJAC0001,085291,2000,201.2,53.2,68.0,77.8,226.0,null,null,null,40.0,157.4,84.4,130.0,null
IDCJAC0001,085291,2001,111.6,44.0,162.6,216.4,63.2,64.0,13.6,0.6,9.2,null,null,null,null
IDCJAC0001,085291,2002,null,20.0,72.2,186.8,17.0,0.0,null,null,null,null,null,null,null
IDCJAC0001,085291,2003,35.2,9.4,null,null,0.4,42.6,125.0,23.2,null,null,null,138.0,null
IDCJAC0001,085291,2004,138.0,85.0,41.8,245.8,134.6,48.8,null,null,null,null,null,80.6,null
IDCJAC0001,085291,2005,115.2,245.2,60.2,80.8,85.6,107.2,199.2,255.2,210.6,97.0,173.8,148.2,1778.2
IDCJAC0001,085291,2006,77.4,79.6,61.4,272.0,178.0,53.2,147.6,112.4,125.6,89.8,124.2,108.4,1429.6
IDCJAC0001,085291,2007,79.0,57.2,137.0,18.4,113.6,313.0,278.4,161.4,228.8,122.8,177.8,151.6,1839.0
IDCJAC0001,085291,2008,114.2,246.6,60.0,74.0,116.2,188.0,131.8,277.2,146.2,77.0,null,null,null
IDCJAC0001,085291,2009,25.8,37.2,94.0,189.4,61.0,52.8,136.2,161.2,376.4,171.8,41.6,100.4,1447.8
IDCJAC0001,085291,2010,128.8,159.0,107.8,131.6,152.0,171.0,94.2,255.0,148.0,184.2,163.0,188.0,1882.6
IDCJAC0001,085291,2011,56.4,198.0,177.8,144.6,219.6,142.6,249.8,120.6,227.4,186.8,242.8,195.6,2162.0
IDCJAC0001,085291,2012,117.0,137.2,182.0,193.8,207.6,null,null,null,null,null,null,null,null
